train_size,model,pairing,concurrence,uncertainty,deltaD,epoch,val_loss
15,Sup(Cls),53.4,0.4581336618365874,0.027926028926875554,6.095607298,212,1.39
15,SSL,45.25,0.4581336523719444,0.02841081322361918,6.201424645,234,1.46
15,Nominal,48.28,0.458133642482828,0.017763518783347206,3.877366152,277,1.11
43,Ablation,81.48,,,1.24,150,0.92
15,Scratch,24.32,0.458133647674493,0.025563314049426508,5.579881369,198,1.87
15,Ref.,,,,5.26,,
148,Sup(Cls),79.66,0.4581336961921307,0.019057319235956216,4.159772441,263,1.06
148,SSL,79.33,0.4581336883857032,0.018045034277366173,3.938814092,282,1.02
148,Nominal,82.17,0.4581336768875195,0.015457915452098426,3.374105907,145,0.87
130,Ablation,81.51,,,1.23,67,0.89
148,Scratch,79.63,0.4581336782705998,0.01807394046326428,3.945123731,255,1.03
148,Ref.,,,,5.26,,
1475,Sup(Cls),82.15,0.4581336843221533,0.016216868116000323,3.539767686,247,0.92
1475,SSL,81.99,0.4581336897981003,0.016259286619584045,3.549026623,171,0.91
1475,Nominal,82.38,0.458133675273627,0.01525685998958257,3.330220155,63,0.86
302,Ablation,81.69,,,1.23,56,0.88
1475,Scratch,81.83,0.4581336781410443,0.015757842770441684,3.439573103,87,0.91
1475,Ref.,,,,5.26,,
2050,Sup(Cls),82.34,0.4581336835756336,0.01599061472769591,3.490381804,178,0.91
2950,SSL,82.19,0.4581336872484383,0.016223724910405166,3.541264343,105,0.9
2950,Nominal,81.96,0.4581336793386201,0.015301446832329021,3.339952403,48,0.86
432,Ablation,81.95,,,1.24,71,0.88
2950,Scratch,81.12,0.4581336775580152,0.015419168672608246,3.365648375,55,0.89
2950,Ref.,,,,5.26,,
